hotel_name,hotel_cityname,hotel_countryname,hotel_starrating,hotel_price,hotel_amenities,hotel_description
JW Marriott Mussoorie Walnut Grove,Mussoorie,India,4.8,"14,500","Doctor on Call,Childcare Services,Outdoor Sports",Top Facilities of this Hotel are Doctor on Call & Childcare Services & Outdoor Sports .
Amara The High Walls,Mussoorie,India,3.3,"3,428","Free Wi-Fi,Free Parking,Restaurant","This 3 Star Hotel in Mussoorie is located in Kulri Chowk . Full Address of property is The Mall, Near Library Chowk ,Opposite Gharwal Terrace (View On Map). This Hotel have 3.3 Out of 5 Rating where 4.3 /5 for Location & 3.6 /5 for Hospitality & 3.5 /5 for Room . Key amenities of this property are Free Wi-Fi & Free Parking & Restaurant ."
Mall Palace,Mussoorie,India,4.1,"2,145","Doctor on Call,Free Wi-Fi,Free Parking","Location of the Hotel is Kulri Chowk View On Map ( The Mall, Opposite Ropeways, Mussoorie 248179 Distt Dehradun Uttarakhand ). It’s a 3 Star Hotel with overall Rating 4.1 Out of 5 where 4.1 /5 for Cleanliness & 4.6 /5 for Security & 4.6 /5 for Location . Top Facilities of this Hotel are Doctor on Call & Free Wi-Fi & Free Parking ."
THE AMBER VERMONT ESTATE,Mussoorie,India,4.5,"5,531","Doctor on Call,Free Parking,Outdoor Sports","Full Address of property is Near Company Garden,Hathi Paon Road (View On Map). This Hotel have 4.5 Out of 5 Rating where 4.6 /5 for Cleanliness & 4.7 /5 for Hospitality & 4.6 /5 for Room . Key amenities of this property are Doctor on Call & Free Parking & Outdoor Sports ."
HOTEL RAGHUSHREE,Mussoorie,India,4.6,"3,828","Doctor on Call,Free Parking,Indoor Games","Location of the Hotel is Kulri Chowk View On Map ( Above Masonic Lodge, The Mall Road, Mussoorie, Uttarakhand ). It’s a 4 Star Hotel with overall Rating 4.6 Out of 5 where 4.5 /5 for Cleanliness & 5 /5 for Security & 4.6 /5 for Location . Top Facilities of this Hotel are Doctor on Call & Free Parking & Indoor Games ."
Hotel SunGrace,Mussoorie,India,4.4,"1,787","Doctor on Call,Free Wi-Fi,Free Parking","This 3 Star Hotel in Mussoorie is located in Kulri Chowk . Full Address of property is 3 Mile Stone, Opp. Sanjha Darbar Temple, Kempty Road (View On Map). This Hotel have 4.4 Out of 5 Rating where 4.3 /5 for Cleanliness & 4.6 /5 for Security & 4.3 /5 for Hospitality . Key amenities of this property are Doctor on Call & Free Wi-Fi & Free Parking ."
Hotel Nand Residency,Mussoorie,India,4.2,"2,068","Doctor on Call,Free Wi-Fi,Free Parking","Location of the Hotel is Kulri Chowk View On Map ( Hotel Nand Residency, Kulri, The Mall, Mussoorie ). It’s a 3 Star Hotel with overall Rating 4.2 Out of 5 where 4.2 /5 for Child friendliness & 4.1 /5 for Security & 4 /5 for Hospitality . Top Facilities of this Hotel are Doctor on Call & Free Wi-Fi & Free Parking ."
hotel natraj palace,Mussoorie,India,3.4,861,"Doctor on Call,Free Wi-Fi,Room Service","Full Address of property is 100 mtrs down The mall road, near picture palace, opp sai mandir, Sarai Road. Natraj Palace Kulri (View On Map). This Hotel have 3.4 Out of 5 Rating where 3.6 /5 for Hospitality & 3.4 /5 for Value for Money & 3.3 /5 for Room . Key amenities of this property are Doctor on Call & Free Wi-Fi & Room Service ."
Camp Dhanaulti Magic,Mussoorie,India,3.3,"1,692","Doctor on Call,Kitchenette,Caretaker","Location of the Camp is Kulri Chowk View On Map ( Turturia , Near Green Forest Resort 3 Km Before Dhanaulti, on Mussoorie - Dhanaulti Road ). Top Facilities of this Camp are Doctor on Call & Kitchenette & Caretaker ."
Cottage in the Clouds by Vista Rooms,Mussoorie,India,4.7,"13,000","Doctor on Call,Living Room,Free Wi-Fi","Full Address of property is Library Chowk, Adjoining Hotel Dunsvirk Court, Mussoorie (View On Map). This Villa have 4.7 Out of 5 Rating where 4.9 /5 for Cleanliness & 4.7 /5 for Facilities & 4.7 /5 for Security . Key amenities of this property are Doctor on Call & Living Room & Free Wi-Fi ."
